interaction,direction,correspondent_id,datetime,call_duration,antenna_id
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-6 04:00:09,8,
call,out,18452df8a2654696b08897d66b3ebfda36d3ad60,2017-06-6 06:13:06,1674,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-6 18:13:54,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-6 18:20:53,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-7 01:36:17,,
text,in,593ed24a7e61427452aa9d9c31218e910947a42b,2017-06-7 02:50:08,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-7 03:30:26,,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-7 03:31:10,142,
call,in,660681558f6336f3aa886f468c63cc3124e6a17b,2017-06-7 16:29:10,27,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-7 19:18:12,,
call,in,d0664c8809172382f5473a32165773f8a581ba9a,2017-06-7 19:28:33,18,
call,in,d32d072e3f3fc37563f746efd3e79a1e77dbb6bb,2017-06-7 19:42:13,13,
call,out,a55c979f4d6d319d14b325eab0e591e5bf07d477,2017-06-8 00:21:39,260,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-8 00:58:57,,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-8 01:56:25,215,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-8 17:25:43,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-8 17:26:17,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-8 17:35:34,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-8 17:36:49,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-8 18:18:33,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-8 22:25:35,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-9 01:41:58,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-9 02:15:57,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-9 02:16:21,,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-9 03:26:08,22,
text,out,438b1ac3d218907c906756830020122645c5fb4e,2017-06-9 17:03:30,,
text,out,438b1ac3d218907c906756830020122645c5fb4e,2017-06-9 17:03:48,,
text,in,438b1ac3d218907c906756830020122645c5fb4e,2017-06-9 17:28:07,,
text,in,438b1ac3d218907c906756830020122645c5fb4e,2017-06-9 17:28:09,,
text,out,438b1ac3d218907c906756830020122645c5fb4e,2017-06-9 18:48:06,,
text,in,438b1ac3d218907c906756830020122645c5fb4e,2017-06-9 18:53:49,,
text,out,438b1ac3d218907c906756830020122645c5fb4e,2017-06-9 18:54:20,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-9 19:28:31,,
call,out,dac2c2a5d75cabfdc2f15179f0ac74382f6be6b,2017-06-9 19:30:26,96,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-9 20:14:38,,
call,in,dac2c2a5d75cabfdc2f15179f0ac74382f6be6b,2017-06-9 20:33:08,1130,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-10 03:02:33,35,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-10 20:18:47,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-10 20:19:05,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-10 22:37:54,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-10 22:38:09,,
call,in,5fed21afe6e8968cf22b89638aca4d1b696aa96f,2017-06-11 21:33:27,,
call,out,5fed21afe6e8968cf22b89638aca4d1b696aa96f,2017-06-11 21:34:44,1482,
call,out,e729a096a6c30c9f523e56329b4cdc7993d83b00,2017-06-12 02:34:04,32,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-12 17:50:03,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-12 18:12:56,,
call,in,39b712cb148280c4d9258b990f2d4545dd185154,2017-06-12 21:29:56,10,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-13 01:48:41,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-13 02:33:58,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-13 18:18:45,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-13 18:40:11,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-13 20:25:26,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-13 22:14:08,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-13 22:15:07,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-13 22:15:15,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-13 22:36:03,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-13 22:41:11,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-14 01:40:16,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-14 01:40:46,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-14 02:27:13,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-14 03:37:17,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-14 03:38:02,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-14 04:08:36,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-14 04:10:45,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-14 04:10:54,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-14 04:11:08,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-14 04:11:14,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-14 04:11:33,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-14 04:11:52,,
call,in,f3ac94572a5f646cec97ab44aef3f2ad84f10642,2017-06-14 06:55:59,,
call,out,18452df8a2654696b08897d66b3ebfda36d3ad60,2017-06-14 07:07:16,42,
call,out,18452df8a2654696b08897d66b3ebfda36d3ad60,2017-06-14 07:08:22,57,
call,out,18452df8a2654696b08897d66b3ebfda36d3ad60,2017-06-14 07:09:32,38,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-14 18:01:26,,
call,in,5ad89f708285ba0e18afee780d467b17f2c638ef,2017-06-14 19:56:14,6,
call,out,e729a096a6c30c9f523e56329b4cdc7993d83b00,2017-06-14 19:56:54,26,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-14 22:03:21,,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-14 22:38:22,864,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-15 02:15:47,446,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-15 18:13:01,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-15 18:13:20,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-16 02:18:22,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-16 03:04:06,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-16 03:28:46,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-16 03:29:10,,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-16 03:35:33,53,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-16 03:43:58,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-16 18:09:45,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-16 18:13:47,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-16 18:14:10,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-16 19:33:20,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-16 19:35:05,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-16 20:04:22,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-16 21:59:32,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-17 01:23:25,,
call,out,18452df8a2654696b08897d66b3ebfda36d3ad60,2017-06-18 06:41:56,346,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-18 23:47:50,33,
call,in,f3ac94572a5f646cec97ab44aef3f2ad84f10642,2017-06-19 05:59:48,315,
call,in,f3ac94572a5f646cec97ab44aef3f2ad84f10642,2017-06-19 06:05:33,675,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-19 18:09:20,,
